CustomerID,Age,Gender,Annual_Income,Spending_Score,Purchase_Frequency
1,19,Female,15,39,2
2,21,Female,16,81,8
3,20,Male,17,6,1
4,23,Female,18,77,7
5,31,Male,25,40,3
6,35,Female,28,76,7
7,22,Male,20,6,1
8,28,Female,30,94,9
9,40,Male,35,36,3
10,25,Female,22,72,7
11,30,Female,40,45,4
12,45,Male,42,20,2
13,27,Female,32,75,8
14,32,Male,45,15,2
15,52,Female,60,14,1
16,23,Male,27,79,8
17,38,Female,55,17,2
18,29,Male,38,35,4
19,41,Female,48,65,6
20,36,Male,52,22,2
21,26,Female,29,73,7
22,48,Male,65,13,2
23,33,Female,43,88,9
24,24,Male,24,41,4
25,55,Female,70,9,1
26,39,Male,58,18,2
27,44,Female,62,70,7
28,31,Male,34,32,3
29,22,Female,19,83,8
30,50,Male,68,12,1
